Unnamed: 0,Prompt,ROGUE_1,ROGUE_2,ROGUE_L,ROGUE_S,METEOR,BERTScore
0,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.",0.7,0.51,0.69,0.4,0.74,0.95
1,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.7,0.55,0.69,0.45,0.74,0.95
2,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.",0.68,0.49,0.67,0.39,0.72,0.95
3,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.7,0.54,0.7,0.45,0.75,0.95
4,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.71,0.52,0.69,0.42,0.74,0.95
5,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.72,0.54,0.7,0.45,0.75,0.95
6,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.",0.69,0.5,0.68,0.41,0.74,0.95
7,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.69,0.5,0.68,0.4,0.73,0.95
8,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.",0.73,0.58,0.72,0.48,0.78,0.95
9,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.",0.69,0.51,0.68,0.41,0.75,0.95
10,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.69,0.55,0.68,0.44,0.73,0.95
11,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.",0.68,0.5,0.68,0.4,0.73,0.95
