NoOfShots,Avg_rouge-1,Variance_rouge-1,Repetition_rouge-1,Avg_rouge-2,Variance_rouge-2,Repetition_rouge-2,Avg_rouge-3,Variance_rouge-3,Repetition_rouge-3,Avg_rouge-4,Variance_rouge-4,Repetition_rouge-4,Avg_rouge-l,Variance_rouge-l,Repetition_rouge-l,Avg_rouge-s1,Variance_rouge-s1,Repetition_rouge-s1,Avg_meteor,Variance_meteor,Repetition_meteor,Avg_BERTScore,Variance_BERTScore,Repetition_BERTScore
0.0,0.22,0.000589672546803534,"[0.22, 0.2, 0.25, 0.25, 0.21, 0.2, 0.23, 0.26, 0.19, 0.2]",0.1,0.0003363143622831613,"[0.1, 0.08, 0.11, 0.12, 0.1, 0.08, 0.1, 0.14, 0.08, 0.09]",0.07,0.00026347996407391684,"[0.06, 0.05, 0.07, 0.08, 0.07, 0.06, 0.06, 0.1, 0.04, 0.06]",0.04,0.00020084470394317398,"[0.03, 0.03, 0.05, 0.05, 0.05, 0.04, 0.04, 0.07, 0.02, 0.03]",0.22,0.0005327127901328913,"[0.22, 0.2, 0.24, 0.25, 0.21, 0.2, 0.23, 0.26, 0.19, 0.2]",0.09,0.00036421771559305466,"[0.09, 0.08, 0.11, 0.11, 0.09, 0.08, 0.09, 0.13, 0.07, 0.09]",0.31,0.0009316064923443038,"[0.32, 0.3, 0.31, 0.35, 0.29, 0.29, 0.32, 0.37, 0.27, 0.28]",0.88,1.7941093808272927e-05,"[0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.87, 0.88]"
1.0,0.53,0.00035206727850631584,"[0.52, 0.54, 0.53, 0.53, 0.56, 0.53, 0.52, 0.53, 0.5, 0.56]",0.35,0.0003810325837440791,"[0.33, 0.36, 0.35, 0.34, 0.38, 0.36, 0.33, 0.36, 0.33, 0.38]",0.23,0.0003569646378458694,"[0.22, 0.23, 0.22, 0.21, 0.25, 0.25, 0.21, 0.23, 0.21, 0.26]",0.17,0.00022111159627603613,"[0.16, 0.15, 0.16, 0.14, 0.19, 0.17, 0.16, 0.18, 0.16, 0.19]",0.53,0.0003690729149864981,"[0.52, 0.54, 0.52, 0.52, 0.56, 0.53, 0.51, 0.52, 0.5, 0.56]",0.32,0.00035264384908130215,"[0.31, 0.33, 0.32, 0.31, 0.35, 0.33, 0.31, 0.32, 0.3, 0.36]",0.66,0.0001986682692039278,"[0.66, 0.67, 0.66, 0.64, 0.67, 0.66, 0.64, 0.65, 0.65, 0.68]",0.94,4.1885936538139095e-06,"[0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94]"
2.0,0.54,0.00015786825650586017,"[0.55, 0.51, 0.56, 0.53, 0.55, 0.55, 0.54, 0.55, 0.54, 0.55]",0.36,0.0004112791636157062,"[0.35, 0.32, 0.36, 0.34, 0.37, 0.38, 0.35, 0.38, 0.34, 0.36]",0.22,0.0005062944312763786,"[0.22, 0.17, 0.22, 0.2, 0.24, 0.25, 0.22, 0.25, 0.21, 0.23]",0.13,0.00014283511953208753,"[0.14, 0.11, 0.13, 0.13, 0.15, 0.14, 0.14, 0.13, 0.12, 0.13]",0.54,0.00016214947981660767,"[0.55, 0.51, 0.55, 0.53, 0.54, 0.54, 0.53, 0.55, 0.54, 0.54]",0.32,0.0003347270631104036,"[0.32, 0.29, 0.33, 0.31, 0.34, 0.34, 0.31, 0.35, 0.32, 0.33]",0.63,7.733607357574429e-05,"[0.64, 0.61, 0.63, 0.62, 0.63, 0.64, 0.62, 0.63, 0.63, 0.63]",0.94,4.595679157417205e-06,"[0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94]"
3.0,0.58,0.0003112091007012074,"[0.57, 0.57, 0.55, 0.56, 0.59, 0.6, 0.57, 0.59, 0.56, 0.59]",0.41,0.0006105178933220322,"[0.39, 0.41, 0.37, 0.39, 0.43, 0.45, 0.41, 0.42, 0.38, 0.42]",0.29,0.000896872735304662,"[0.26, 0.29, 0.24, 0.28, 0.32, 0.34, 0.31, 0.31, 0.27, 0.31]",0.19,0.0011078297415466594,"[0.17, 0.17, 0.14, 0.17, 0.24, 0.23, 0.22, 0.21, 0.16, 0.18]",0.57,0.0002968746601268819,"[0.56, 0.57, 0.55, 0.56, 0.59, 0.6, 0.57, 0.59, 0.55, 0.58]",0.38,0.0006917325835962177,"[0.36, 0.37, 0.34, 0.36, 0.4, 0.41, 0.39, 0.39, 0.34, 0.39]",0.68,0.0001475474595584022,"[0.66, 0.69, 0.69, 0.66, 0.68, 0.7, 0.68, 0.69, 0.68, 0.69]",0.95,6.492413466483094e-06,"[0.94, 0.95, 0.94, 0.94, 0.95, 0.95, 0.94, 0.95, 0.94, 0.95]"
4.0,0.56,0.00026347882474044547,"[0.55, 0.55, 0.57, 0.58, 0.54, 0.58, 0.57, 0.56, 0.54, 0.53]",0.37,0.0003810534015599589,"[0.36, 0.37, 0.38, 0.39, 0.34, 0.39, 0.39, 0.38, 0.36, 0.34]",0.25,0.0005443798684754273,"[0.23, 0.27, 0.26, 0.27, 0.21, 0.28, 0.27, 0.27, 0.25, 0.23]",0.17,0.00043666246246436085,"[0.14, 0.19, 0.17, 0.17, 0.14, 0.21, 0.16, 0.18, 0.17, 0.16]",0.55,0.00025045819843774357,"[0.55, 0.55, 0.56, 0.57, 0.54, 0.57, 0.57, 0.55, 0.54, 0.53]",0.34,0.00036951410634562684,"[0.33, 0.35, 0.35, 0.36, 0.31, 0.36, 0.36, 0.35, 0.34, 0.32]",0.67,0.00032187157178005304,"[0.66, 0.68, 0.68, 0.69, 0.66, 0.7, 0.67, 0.69, 0.65, 0.65]",0.94,8.348601901104847e-06,"[0.94, 0.94, 0.94, 0.95, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94]"
5.0,0.61,0.00046395970763193944,"[0.63, 0.63, 0.57, 0.63, 0.61, 0.6, 0.61, 0.59, 0.59, 0.6]",0.45,0.0010427059130845586,"[0.49, 0.47, 0.41, 0.49, 0.45, 0.42, 0.46, 0.4, 0.44, 0.43]",0.31,0.0015029538032037138,"[0.37, 0.33, 0.28, 0.37, 0.31, 0.29, 0.33, 0.24, 0.31, 0.29]",0.21,0.0007327077424421751,"[0.24, 0.21, 0.19, 0.24, 0.24, 0.2, 0.22, 0.16, 0.22, 0.19]",0.6,0.0004418056128301316,"[0.63, 0.63, 0.57, 0.63, 0.61, 0.6, 0.61, 0.59, 0.59, 0.6]",0.41,0.0010123672129457393,"[0.46, 0.43, 0.37, 0.46, 0.42, 0.39, 0.43, 0.37, 0.4, 0.4]",0.7,0.0004767304966140954,"[0.73, 0.73, 0.66, 0.72, 0.71, 0.7, 0.69, 0.68, 0.7, 0.69]",0.95,6.9486221558683145e-06,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]"
6.0,0.63,0.0003007175554165778,"[0.63, 0.61, 0.61, 0.64, 0.62, 0.65, 0.62, 0.63, 0.63, 0.66]",0.48,0.0003473949033626622,"[0.48, 0.46, 0.44, 0.5, 0.47, 0.49, 0.47, 0.47, 0.46, 0.51]",0.35,0.0004183502162434461,"[0.35, 0.33, 0.32, 0.38, 0.35, 0.36, 0.34, 0.34, 0.33, 0.38]",0.25,0.00047688686154338377,"[0.25, 0.23, 0.22, 0.28, 0.26, 0.29, 0.23, 0.25, 0.22, 0.25]",0.63,0.0002853063574042614,"[0.63, 0.61, 0.61, 0.64, 0.61, 0.65, 0.62, 0.63, 0.63, 0.66]",0.45,0.00032975943806096933,"[0.45, 0.43, 0.42, 0.46, 0.44, 0.46, 0.44, 0.45, 0.43, 0.48]",0.74,0.00036217349998308594,"[0.77, 0.74, 0.71, 0.75, 0.73, 0.76, 0.72, 0.72, 0.74, 0.76]",0.95,6.169131252672202e-06,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.96]"
7.0,0.64,0.0005774709785808913,"[0.61, 0.61, 0.64, 0.66, 0.62, 0.63, 0.69, 0.63, 0.62, 0.65]",0.49,0.0011074481205254733,"[0.46, 0.46, 0.5, 0.51, 0.47, 0.49, 0.56, 0.46, 0.45, 0.52]",0.36,0.001839251076947386,"[0.33, 0.32, 0.37, 0.39, 0.34, 0.35, 0.45, 0.32, 0.3, 0.4]",0.24,0.0007664438359443537,"[0.22, 0.21, 0.24, 0.27, 0.25, 0.23, 0.3, 0.22, 0.21, 0.25]",0.63,0.000613748870255159,"[0.61, 0.61, 0.64, 0.66, 0.61, 0.63, 0.68, 0.63, 0.61, 0.65]",0.45,0.001243459617163167,"[0.43, 0.43, 0.46, 0.48, 0.43, 0.45, 0.53, 0.44, 0.41, 0.49]",0.73,0.0005306836121806228,"[0.71, 0.7, 0.75, 0.76, 0.72, 0.72, 0.77, 0.74, 0.72, 0.74]",0.95,1.3512198150817578e-05,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.96, 0.95, 0.95, 0.95]"
8.0,0.63,0.000490821848850653,"[0.64, 0.63, 0.65, 0.65, 0.62, 0.62, 0.65, 0.64, 0.59, 0.61]",0.47,0.0006404336761035853,"[0.49, 0.46, 0.51, 0.48, 0.47, 0.46, 0.5, 0.48, 0.42, 0.45]",0.34,0.0007937405798518262,"[0.35, 0.32, 0.39, 0.34, 0.33, 0.3, 0.37, 0.35, 0.3, 0.33]",0.24,0.0009232880228018871,"[0.26, 0.22, 0.28, 0.25, 0.25, 0.2, 0.28, 0.26, 0.2, 0.23]",0.63,0.0004910612081647655,"[0.64, 0.63, 0.65, 0.65, 0.61, 0.62, 0.65, 0.64, 0.58, 0.61]",0.44,0.00074553073331177,"[0.45, 0.42, 0.47, 0.45, 0.44, 0.41, 0.47, 0.45, 0.39, 0.42]",0.73,0.00025525532637490987,"[0.74, 0.74, 0.75, 0.74, 0.72, 0.73, 0.74, 0.74, 0.69, 0.71]",0.95,1.1706882816932692e-05,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.96, 0.95, 0.94, 0.95]"
9.0,0.62,0.0003890450492436885,"[0.65, 0.59, 0.62, 0.61, 0.64, 0.63, 0.6, 0.65, 0.61, 0.62]",0.47,0.0006335660314513175,"[0.48, 0.43, 0.46, 0.46, 0.51, 0.51, 0.44, 0.48, 0.46, 0.47]",0.34,0.0009416480788907605,"[0.34, 0.31, 0.32, 0.33, 0.39, 0.4, 0.3, 0.33, 0.33, 0.33]",0.24,0.0009000197114389526,"[0.24, 0.21, 0.24, 0.23, 0.3, 0.26, 0.19, 0.24, 0.22, 0.26]",0.62,0.00041193543180618835,"[0.64, 0.59, 0.62, 0.61, 0.64, 0.63, 0.59, 0.65, 0.61, 0.62]",0.44,0.0006391580299588044,"[0.45, 0.4, 0.43, 0.43, 0.47, 0.47, 0.4, 0.45, 0.42, 0.43]",0.71,0.00023191545049855948,"[0.73, 0.71, 0.72, 0.7, 0.73, 0.72, 0.69, 0.74, 0.71, 0.7]",0.95,5.670202277514951e-06,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]"
