NoOfShots,Avg_rouge-1,Variance_rouge-1,Repetition_rouge-1,Avg_rouge-2,Variance_rouge-2,Repetition_rouge-2,Avg_rouge-3,Variance_rouge-3,Repetition_rouge-3,Avg_rouge-4,Variance_rouge-4,Repetition_rouge-4,Avg_rouge-l,Variance_rouge-l,Repetition_rouge-l,Avg_rouge-s1,Variance_rouge-s1,Repetition_rouge-s1,Avg_meteor,Variance_meteor,Repetition_meteor,Avg_BERTScore,Variance_BERTScore,Repetition_BERTScore
0.0,0.22,0.0005814890169093242,"[0.27, 0.21, 0.19, 0.2, 0.2, 0.24, 0.21, 0.22, 0.24, 0.24]",0.12,0.0003394211676893196,"[0.15, 0.11, 0.11, 0.12, 0.12, 0.13, 0.12, 0.12, 0.1, 0.16]",0.06,0.00027120368644091846,"[0.07, 0.04, 0.06, 0.07, 0.05, 0.06, 0.05, 0.06, 0.04, 0.09]",0.03,0.0003325576823552703,"[0.04, 0.01, 0.04, 0.04, 0.04, 0.04, 0.02, 0.01, 0.02, 0.07]",0.21,0.0005476130168861831,"[0.26, 0.2, 0.18, 0.19, 0.19, 0.22, 0.2, 0.21, 0.22, 0.23]",0.11,0.00031325975309037134,"[0.13, 0.09, 0.11, 0.11, 0.1, 0.12, 0.11, 0.11, 0.09, 0.14]",0.45,0.0016059688332768435,"[0.48, 0.47, 0.4, 0.42, 0.42, 0.48, 0.42, 0.41, 0.52, 0.46]",0.89,3.907124783176047e-05,"[0.91, 0.9, 0.89, 0.89, 0.89, 0.9, 0.88, 0.9, 0.9, 0.89]"
1.0,0.62,0.0012199218582559972,"[0.65, 0.66, 0.63, 0.65, 0.6, 0.64, 0.57, 0.58, 0.57, 0.62]",0.44,0.002143760381440895,"[0.52, 0.49, 0.42, 0.51, 0.41, 0.46, 0.4, 0.41, 0.39, 0.43]",0.27,0.00341312521752043,"[0.37, 0.31, 0.23, 0.36, 0.22, 0.27, 0.2, 0.28, 0.22, 0.25]",0.13,0.004222984769478916,"[0.16, 0.19, 0.13, 0.25, 0.07, 0.12, 0.12, 0.12, 0.01, 0.12]",0.61,0.0012199218582559968,"[0.64, 0.65, 0.63, 0.65, 0.59, 0.64, 0.57, 0.57, 0.57, 0.61]",0.42,0.0019909810993225096,"[0.49, 0.46, 0.4, 0.48, 0.39, 0.44, 0.37, 0.4, 0.37, 0.41]",0.75,0.0005765424947733912,"[0.77, 0.78, 0.78, 0.76, 0.75, 0.77, 0.73, 0.71, 0.74, 0.76]",0.95,1.35906911805045e-05,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.94, 0.95, 0.95, 0.95, 0.95]"
2.0,0.68,0.0005167381270186577,"[0.64, 0.66, 0.68, 0.67, 0.71, 0.71, 0.69, 0.7, 0.68, 0.68]",0.58,0.0007009346744797757,"[0.55, 0.55, 0.58, 0.57, 0.62, 0.61, 0.59, 0.6, 0.55, 0.59]",0.44,0.0011927406660101865,"[0.44, 0.39, 0.44, 0.45, 0.48, 0.48, 0.46, 0.46, 0.39, 0.47]",0.32,0.001767250691126125,"[0.34, 0.26, 0.33, 0.27, 0.37, 0.31, 0.36, 0.32, 0.25, 0.36]",0.68,0.0005167381270186577,"[0.64, 0.66, 0.68, 0.67, 0.71, 0.71, 0.69, 0.7, 0.68, 0.68]",0.54,0.0008279167035193133,"[0.5, 0.5, 0.54, 0.53, 0.58, 0.58, 0.55, 0.56, 0.51, 0.56]",0.79,0.00011953600208399547,"[0.78, 0.79, 0.78, 0.79, 0.8, 0.8, 0.81, 0.78, 0.79, 0.77]",0.96,3.3568400846320013e-06,"[0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96]"
3.0,0.71,0.000591674296569775,"[0.68, 0.71, 0.73, 0.71, 0.69, 0.69, 0.76, 0.71, 0.71, 0.74]",0.6,0.0020107525698350487,"[0.55, 0.59, 0.62, 0.64, 0.56, 0.55, 0.68, 0.59, 0.58, 0.64]",0.48,0.00462284239795096,"[0.38, 0.46, 0.5, 0.55, 0.43, 0.39, 0.58, 0.5, 0.46, 0.55]",0.28,0.004173526719905755,"[0.25, 0.21, 0.25, 0.24, 0.27, 0.21, 0.38, 0.39, 0.32, 0.31]",0.71,0.000591674296569775,"[0.68, 0.71, 0.73, 0.71, 0.69, 0.69, 0.76, 0.71, 0.71, 0.74]",0.58,0.002148090964088496,"[0.51, 0.56, 0.59, 0.61, 0.54, 0.52, 0.65, 0.58, 0.56, 0.63]",0.79,0.00017258431172447093,"[0.78, 0.78, 0.8, 0.79, 0.78, 0.8, 0.82, 0.79, 0.8, 0.8]",0.96,1.0980224902065572e-05,"[0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.97, 0.96, 0.96, 0.96]"
4.0,0.72,0.0002604399123410034,"[0.71, 0.73, 0.73, 0.74, 0.76, 0.71, 0.7, 0.71, 0.71, 0.72]",0.63,0.0007419623502726608,"[0.61, 0.63, 0.64, 0.66, 0.67, 0.62, 0.59, 0.59, 0.61, 0.64]",0.5,0.0017700611188696891,"[0.48, 0.52, 0.53, 0.54, 0.56, 0.51, 0.44, 0.44, 0.49, 0.53]",0.36,0.002840555248969594,"[0.37, 0.34, 0.4, 0.37, 0.42, 0.4, 0.25, 0.29, 0.33, 0.39]",0.72,0.0002604399123410034,"[0.71, 0.73, 0.73, 0.74, 0.76, 0.71, 0.7, 0.71, 0.71, 0.72]",0.59,0.0009234461084023805,"[0.58, 0.61, 0.61, 0.62, 0.65, 0.59, 0.55, 0.55, 0.58, 0.61]",0.79,0.0001433969636473076,"[0.79, 0.8, 0.79, 0.8, 0.81, 0.8, 0.78, 0.8, 0.77, 0.77]",0.96,8.189815433536372e-06,"[0.96, 0.96, 0.96, 0.96, 0.97, 0.96, 0.96, 0.96, 0.96, 0.96]"
5.0,0.71,0.00035012963020791094,"[0.74, 0.72, 0.71, 0.72, 0.72, 0.71, 0.71, 0.67, 0.71, 0.71]",0.63,0.0010925074659692716,"[0.68, 0.63, 0.61, 0.64, 0.66, 0.63, 0.61, 0.56, 0.63, 0.61]",0.51,0.0020409575271072874,"[0.59, 0.52, 0.5, 0.53, 0.57, 0.52, 0.49, 0.43, 0.52, 0.47]",0.35,0.0027285974749887212,"[0.39, 0.41, 0.39, 0.34, 0.41, 0.34, 0.39, 0.27, 0.27, 0.34]",0.71,0.00035012963020791094,"[0.74, 0.72, 0.71, 0.72, 0.72, 0.71, 0.71, 0.67, 0.71, 0.71]",0.59,0.0009284195131525748,"[0.64, 0.6, 0.58, 0.6, 0.62, 0.59, 0.58, 0.53, 0.59, 0.57]",0.78,0.00021353869680767313,"[0.8, 0.8, 0.78, 0.79, 0.77, 0.79, 0.77, 0.75, 0.78, 0.79]",0.96,8.036913426237485e-06,"[0.97, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96]"
6.0,0.72,0.0002889747212961955,"[0.71, 0.74, 0.73, 0.7, 0.72, 0.72, 0.7, 0.71, 0.75, 0.72]",0.64,0.0012400413333552998,"[0.64, 0.68, 0.68, 0.59, 0.64, 0.64, 0.59, 0.6, 0.68, 0.64]",0.54,0.003407571314595093,"[0.55, 0.62, 0.59, 0.48, 0.54, 0.56, 0.47, 0.46, 0.62, 0.55]",0.36,0.0037991086049525102,"[0.34, 0.45, 0.4, 0.26, 0.31, 0.39, 0.33, 0.33, 0.44, 0.33]",0.72,0.0003207825482295105,"[0.71, 0.74, 0.73, 0.69, 0.72, 0.72, 0.7, 0.71, 0.75, 0.72]",0.6,0.0013381666464317146,"[0.6, 0.66, 0.64, 0.56, 0.6, 0.61, 0.56, 0.56, 0.65, 0.61]",0.79,0.00016383340410515323,"[0.78, 0.77, 0.78, 0.79, 0.79, 0.79, 0.77, 0.79, 0.8, 0.81]",0.96,9.627118792466486e-06,"[0.96, 0.97, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.97, 0.96]"
7.0,0.72,0.0006545292945819876,"[0.71, 0.75, 0.73, 0.68, 0.72, 0.72, 0.68, 0.75, 0.69, 0.72]",0.63,0.0020486608732172853,"[0.6, 0.7, 0.66, 0.57, 0.63, 0.64, 0.58, 0.71, 0.62, 0.63]",0.54,0.004055388055709148,"[0.49, 0.62, 0.59, 0.44, 0.53, 0.53, 0.48, 0.65, 0.52, 0.54]",0.39,0.0029513106647045375,"[0.33, 0.46, 0.41, 0.3, 0.39, 0.4, 0.4, 0.47, 0.34, 0.41]",0.72,0.0007037568651255155,"[0.71, 0.75, 0.73, 0.68, 0.72, 0.72, 0.68, 0.75, 0.69, 0.72]",0.61,0.002114686783670906,"[0.57, 0.66, 0.63, 0.53, 0.6, 0.61, 0.56, 0.68, 0.59, 0.61]",0.79,0.00036118460654600924,"[0.79, 0.78, 0.82, 0.79, 0.78, 0.8, 0.76, 0.81, 0.76, 0.8]",0.96,2.318703070467542e-05,"[0.96, 0.96, 0.96, 0.95, 0.96, 0.96, 0.96, 0.97, 0.96, 0.96]"
8.0,0.71,0.001048967865973226,"[0.76, 0.7, 0.72, 0.68, 0.71, 0.71, 0.67, 0.66, 0.71, 0.75]",0.62,0.0016996569529423708,"[0.67, 0.61, 0.63, 0.6, 0.61, 0.62, 0.6, 0.54, 0.65, 0.69]",0.52,0.003266606823342923,"[0.57, 0.51, 0.52, 0.5, 0.51, 0.51, 0.51, 0.41, 0.58, 0.63]",0.4,0.0029977835369697503,"[0.49, 0.39, 0.42, 0.34, 0.4, 0.4, 0.4, 0.3, 0.44, 0.47]",0.71,0.0011240194082234617,"[0.76, 0.7, 0.72, 0.68, 0.71, 0.71, 0.67, 0.65, 0.71, 0.75]",0.59,0.0020741693695273283,"[0.65, 0.58, 0.6, 0.56, 0.58, 0.59, 0.56, 0.5, 0.62, 0.66]",0.8,0.00046754015802507237,"[0.83, 0.78, 0.81, 0.78, 0.78, 0.79, 0.77, 0.78, 0.8, 0.83]",0.96,2.5849596564320786e-05,"[0.97, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.95, 0.96, 0.96]"
9.0,0.7,0.00028342137581006586,"[0.69, 0.69, 0.68, 0.69, 0.72, 0.68, 0.72, 0.69, 0.71, 0.72]",0.61,0.0006665599029550364,"[0.59, 0.59, 0.57, 0.61, 0.65, 0.6, 0.63, 0.59, 0.64, 0.62]",0.51,0.0014963779355088433,"[0.5, 0.48, 0.45, 0.52, 0.58, 0.51, 0.53, 0.47, 0.56, 0.52]",0.36,0.0014219988772690962,"[0.29, 0.37, 0.35, 0.35, 0.42, 0.34, 0.39, 0.36, 0.39, 0.4]",0.7,0.00028342137581006586,"[0.69, 0.69, 0.68, 0.69, 0.72, 0.68, 0.72, 0.69, 0.71, 0.72]",0.58,0.0006327547402642211,"[0.57, 0.56, 0.55, 0.57, 0.62, 0.57, 0.6, 0.56, 0.61, 0.6]",0.78,0.00017805621422103718,"[0.77, 0.78, 0.79, 0.76, 0.8, 0.78, 0.8, 0.78, 0.78, 0.8]",0.96,1.5853231927669356e-05,"[0.95, 0.95, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96]"
